dataset,algorithm,f1,precision,recall,cover
apple,BOCPD,0.59375,1.0,0.4222222222222222,0.4246265030345013
apple,CUSUM,0.59375,1.0,0.4222222222222222,0.4246265030345013
apple,MicroWatch,0.59375,1.0,0.4222222222222222,0.4246265030345013
apple,PELT,0.59375,1.0,0.4222222222222222,0.4246265030345013
apple,BOCPDMS_univ,0.59375,1.0,0.4222222222222222,0.4246265030345013
apple,BOCPDMS_multi,0.03837953091684435,0.01956521739130435,1.0,0.09101917755793712
bank,BOCPD,0.04347826086956522,0.022222222222222223,1.0,0.5180722891566265
bank,CUSUM,0.039999999999999994,0.02040816326530612,1.0,0.04130808950086059
bank,MicroWatch,0.125,0.06666666666666667,1.0,0.10327022375215147
bank,PELT,1.0,1.0,1.0,1.0
bank,BOCPDMS_univ,0.004662004662004662,0.002336448598130841,1.0,0.03614457831325301
bank,BOCPDMS_multi,1.0,1.0,1.0,1.0
bee_waggle_6,BOCPD,0.9285714285714287,1.0,0.8666666666666668,0.8911284212456287
bee_waggle_6,CUSUM,0.9285714285714287,1.0,0.8666666666666668,0.8911284212456287
bee_waggle_6,MicroWatch,0.9285714285714287,1.0,0.8666666666666668,0.8911284212456287
bee_waggle_6,PELT,0.9285714285714287,1.0,0.8666666666666668,0.8911284212456287
bee_waggle_6,BOCPDMS_univ,0.9285714285714287,1.0,0.8666666666666668,0.8911284212456287
bee_waggle_6,BOCPDMS_multi,0.013392857142857142,0.006741573033707865,1.0,0.04433497536945813
bitcoin,BOCPD,0.04284985546675735,0.022988505747126436,0.315,0.31350234255615334
bitcoin,CUSUM,0.3636363636363636,0.2222222222222222,1.0,0.19007324281345067
bitcoin,MicroWatch,0.3587570621468927,0.25,0.635,0.3043236447237862
bitcoin,PELT,0.2233585600327265,0.12612612612612611,0.975,0.06524547803617571
bitcoin,BOCPDMS_univ,0.04798340033718066,0.024630541871921183,0.925,0.07057408090999823
bitcoin,BOCPDMS_multi,0.44961240310077516,1.0,0.29,0.5162283249537621
brent_spot,BOCPD,0.32786885245901637,0.21739130434782608,0.6666666666666667,0.28578820847997316
brent_spot,CUSUM,0.4814102166221837,0.32558139534883723,0.9233333333333335,0.25966725451723716
brent_spot,MicroWatch,0.31845597104945716,0.3076923076923077,0.32999999999999996,0.3409271895165954
brent_spot,PELT,0.48841354723707664,0.3333333333333333,0.9133333333333333,0.239455387867946
brent_spot,BOCPDMS_univ,0.14229395668104447,0.07669616519174041,0.9833333333333334,0.13142608695652175
brent_spot,BOCPDMS_multi,0.3146067415730337,1.0,0.18666666666666665,0.2658176
businv,BOCPD,0.18181818181818182,0.1,1.0,0.22184304584304582
businv,CUSUM,0.2702702702702703,0.15625,1.0,0.14363636363636362
businv,MicroWatch,0.29565217391304355,0.2,0.5666666666666667,0.2748419257510167
businv,PELT,0.18181818181818182,0.1,1.0,0.08963125228185469
businv,BOCPDMS_univ,0.08121827411167512,0.042328042328042326,1.0,0.19181182453909726
businv,BOCPDMS_multi,0.5882352941176471,1.0,0.41666666666666663,0.46094765840220386
centralia,BOCPD,0.9090909090909091,1.0,0.8333333333333333,0.5635978835978837
