file_name,distance_index,batch_size,threshold,max_dist_size,new_dist_buffer_size
apple,0,4,0.125298284,27,4
apple,1,3,0.620730544,25,43
apple,2,3,3.139910919,21,38
apple,3,6,3.86760245,51,41
apple,4,3,0.525455704,71,37
apple,5,6,0.732082852,86,30
apple,6,3,1.105742671,53,20
bank,0,5,0.307721167,35,8
bank,1,4,2.207439395,22,44
bank,2,6,2.720781393,50,30
bank,3,5,2.777395497,21,41
bank,4,3,3.162353655,50,46
bank,5,4,2.154273858,84,40
bank,6,5,2.397339882,94,24
bee_waggle_6,0,4,0.628242871,93,49
bee_waggle_6,1,4,3.465675206,81,32
bee_waggle_6,2,6,3.719955787,99,40
bee_waggle_6,3,3,2.843846528,54,26
bee_waggle_6,4,5,0.81995813,30,38
bee_waggle_6,5,5,0.875019289,85,24
bee_waggle_6,6,4,1.666112771,17,33
bitcoin,0,5,0.925766865,79,13
bitcoin,1,5,2.093935524,18,9
bitcoin,2,6,2.835249497,52,28
bitcoin,3,3,2.163913651,46,10
bitcoin,4,4,2.373581048,40,21
bitcoin,5,5,2.212551814,24,30
bitcoin,6,4,1.209374623,33,43
brent_spot,0,3,1.040997484,92,31
brent_spot,1,4,3.019170202,32,10
brent_spot,2,3,3.92701899,19,10
brent_spot,3,4,3.63913105,26,11
brent_spot,4,4,0.897043169,59,49
brent_spot,5,5,0.179403432,22,31
brent_spot,6,4,1.070024322,47,36
businv,0,4,0.754350032,92,6
businv,1,3,2.980237274,96,42
businv,2,4,3.799072007,98,30
businv,3,3,3.866389247,89,33
businv,4,4,3.879569139,66,18
businv,5,3,3.073015156,100,34
businv,6,3,1.16976017,45,21
centralia,0,3,3.702761017,23,12
centralia,1,6,1.525018023,28,3
centralia,2,4,0.669825711,75,11
centralia,3,6,0.460242184,42,7
centralia,4,6,0.447929601,15,10
centralia,5,3,1.744701207,82,3
centralia,6,4,2.747649263,57,48
children_per_woman,0,3,0.974587839,41,32
children_per_woman,1,5,1.571536144,98,31
children_per_woman,2,6,3.981074313,96,17
children_per_woman,3,5,2.227882663,92,6
children_per_woman,4,3,3.778902626,100,26
children_per_woman,5,5,1.298459232,91,25
children_per_woman,6,5,2.396303304,93,31
co2_canada,0,6,0.113099147,95,50
co2_canada,1,5,1.53701071,31,25
co2_canada,2,3,0.798278153,17,21
co2_canada,3,5,1.657277825,34,23
co2_canada,4,3,2.481809356,34,18
co2_canada,5,6,3.86340126,22,13
co2_canada,6,3,1.228752196,55,31
construction,0,3,1.015073093,95,50
construction,1,5,1.751912858,78,10
construction,2,3,2.455072035,68,9
construction,3,4,1.496698675,96,24
construction,4,3,2.287514894,82,9
construction,5,3,3.98118336,58,33
construction,6,6,1.142752364,59,7
debt_ireland,0,4,2.308089181,43,8
debt_ireland,1,4,0.169552173,79,5
debt_ireland,2,4,0.343588055,66,7
debt_ireland,3,4,0.349538173,98,6
debt_ireland,4,4,0.379662771,43,7
debt_ireland,5,4,0.606375202,24,5
debt_ireland,6,4,0.200590793,78,6
gdp_argentina,0,6,1.383563304,29,49
gdp_argentina,1,6,0.188767912,85,50
gdp_argentina,2,6,0.421631137,11,50
gdp_argentina,3,4,3.212672125,36,24
gdp_argentina,4,6,0.101362542,66,50
gdp_argentina,5,4,2.635986227,29,37
gdp_argentina,6,6,0.437254121,53,49
gdp_croatia,0,3,1.567934133,16,15
gdp_croatia,1,5,0.302640081,18,14
gdp_croatia,2,5,0.106121015,14,12
gdp_croatia,3,3,0.514370928,60,14
gdp_croatia,4,5,0.14635912,90,15
gdp_croatia,5,5,0.228700741,77,12
gdp_croatia,6,3,0.12625164,89,15
