dataset,method,parameters,change_points,time_ms
shanghai_license,MicroWatch(idx=0),"{""threshold_ratio"":1.043895279,""batch_size"":3.0,""max_dist_size"":61.0,""new_dist_buffer_size"":45.0}",,0.044
shanghai_license,MicroWatch(idx=1),"{""new_dist_buffer_size"":33.0,""threshold_ratio"":3.617434115,""batch_size"":5.0,""max_dist_size"":93.0}",145,0.039
shanghai_license,MicroWatch(idx=2),"{""new_dist_buffer_size"":12.0,""max_dist_size"":73.0,""threshold_ratio"":2.746570231,""batch_size"":5.0}",55;160,0.147
shanghai_license,MicroWatch(idx=3),"{""batch_size"":6.0,""threshold_ratio"":3.886121913,""new_dist_buffer_size"":46.0,""max_dist_size"":71.0}",168,0.017
shanghai_license,MicroWatch(idx=4),"{""max_dist_size"":35.0,""new_dist_buffer_size"":36.0,""batch_size"":5.0,""threshold_ratio"":1.886476529}",55;145,0.015
shanghai_license,MicroWatch(idx=5),"{""threshold_ratio"":2.32966091,""max_dist_size"":93.0,""new_dist_buffer_size"":26.0,""batch_size"":5.0}",55;145,0.046
shanghai_license,MicroWatch(idx=6),"{""batch_size"":5.0,""threshold_ratio"":1.270643508,""max_dist_size"":32.0,""new_dist_buffer_size"":29.0}",55;145,0.014
shanghai_license,BOCPD,"alpha=0.5, beta=0.001, kappa=100, mu=0",52;53;140;141,2.267
shanghai_license,CUSUM,"twarmup=200, plimit=0.28998842262540725",58;136;173,0.003
shanghai_license,PELT,"penalty=10, jump=5, min_size=1",74;146;205,3.924
co2_canada,MicroWatch(idx=0),"{""max_dist_size"":95.0,""batch_size"":6.0,""threshold_ratio"":0.113099147,""new_dist_buffer_size"":50.0}",54,0.019
co2_canada,MicroWatch(idx=1),"{""max_dist_size"":50.0,""threshold_ratio"":2.538112513,""batch_size"":6.0,""new_dist_buffer_size"":24.0}",48;84;108;144;168,0.080
co2_canada,MicroWatch(idx=2),"{""new_dist_buffer_size"":21.0,""batch_size"":3.0,""threshold_ratio"":0.798278153,""max_dist_size"":17.0}",21;42;63;84;105;141;162,0.014
co2_canada,MicroWatch(idx=3),"{""threshold_ratio"":1.657277825,""new_dist_buffer_size"":23.0,""batch_size"":5.0,""max_dist_size"":34.0}",25;50;80;105;165,0.016
co2_canada,MicroWatch(idx=4),"{""max_dist_size"":34.0,""batch_size"":3.0,""new_dist_buffer_size"":18.0,""threshold_ratio"":2.481809356}",45;63;81;102;168,0.036
co2_canada,MicroWatch(idx=5),"{""max_dist_size"":22.0,""threshold_ratio"":3.86340126,""new_dist_buffer_size"":13.0,""batch_size"":6.0}",42;60;78;102;168,0.018
co2_canada,MicroWatch(idx=6),"{""max_dist_size"":55.0,""new_dist_buffer_size"":31.0,""batch_size"":3.0,""threshold_ratio"":1.228752196}",45;78;111;168,0.025
co2_canada,BOCPD,"alpha=0.001, beta=0.1, kappa=0.1, mu=10",75;137;159;160,1.626
co2_canada,CUSUM,"twarmup=11, plimit=0.4156816681234061",36;72;107;148;192,0.003
co2_canada,PELT,"penalty=1, jump=5, min_size=1",83;105;141;168;215,3.567
scanline_42049,MicroWatch(idx=0),"{""batch_size"":3.0,""max_dist_size"":77.0,""new_dist_buffer_size"":49.0,""threshold_ratio"":1.057818306}",,0.030
scanline_42049,MicroWatch(idx=1),"{""threshold_ratio"":2.474819606,""batch_size"":3.0,""new_dist_buffer_size"":15.0,""max_dist_size"":44.0}",60;78;168;183;276;348;363;468,0.053
scanline_42049,MicroWatch(idx=2),"{""new_dist_buffer_size"":37.0,""batch_size"":6.0,""threshold_ratio"":0.711666818,""max_dist_size"":82.0}",42;186;228;270;354;468,0.038
scanline_42049,MicroWatch(idx=3),"{""new_dist_buffer_size"":16.0,""batch_size"":5.0,""threshold_ratio"":1.646664095,""max_dist_size"":89.0}",55,0.035
scanline_42049,MicroWatch(idx=4),"{""new_dist_buffer_size"":22.0,""max_dist_size"":81.0,""threshold_ratio"":0.343397746,""batch_size"":3.0}",24;51;75;183;273;354;468,0.143
scanline_42049,MicroWatch(idx=5),"{""max_dist_size"":79.0,""batch_size"":4.0,""new_dist_buffer_size"":49.0,""threshold_ratio"":0.546164796}",76;128;180;276;364,0.063
scanline_42049,MicroWatch(idx=6),"{""batch_size"":4.0,""new_dist_buffer_size"":49.0,""threshold_ratio"":0.965736645,""max_dist_size"":91.0}",52;192;272;356,0.050
scanline_42049,BOCPD,"alpha=0.01, beta=0.001, kappa=100, mu=200",49;50;72;73;178;270;271,13.522
scanline_42049,CUSUM,"twarmup=288, plimit=0.15471524599019587",38;75;175;251;291;330;394;436;468,0.008
scanline_42049,PELT,"penalty=8, jump=1, min_size=1",55;77;184;275;349;363;466;481,24.538
quality_control_2,MicroWatch(idx=0),"{""max_dist_size"":56.0,""batch_size"":3.0,""new_dist_buffer_size"":10.0,""threshold_ratio"":1.216461214}",,0.025
quality_control_2,MicroWatch(idx=1),"{""new_dist_buffer_size"":25.0,""threshold_ratio"":1.866747083,""batch_size"":3.0,""max_dist_size"":32.0}",99,0.016
quality_control_2,MicroWatch(idx=2),"{""threshold_ratio"":0.589834253,""max_dist_size"":21.0,""batch_size"":4.0,""new_dist_buffer_size"":41.0}",44;88;132;176;220;264,0.018
quality_control_2,MicroWatch(idx=3),"{""threshold_ratio"":2.10049255,""new_dist_buffer_size"":33.0,""batch_size"":3.0,""max_dist_size"":74.0}",,0.023
quality_control_2,MicroWatch(idx=4),"{""batch_size"":6.0,""new_dist_buffer_size"":12.0,""max_dist_size"":29.0,""threshold_ratio"":2.081736798}",96,0.021
quality_control_2,MicroWatch(idx=5),"{""max_dist_size"":13.0,""batch_size"":3.0,""threshold_ratio"":1.919692992,""new_dist_buffer_size"":35.0}",99,0.016
quality_control_2,MicroWatch(idx=6),"{""threshold_ratio"":1.628314707,""new_dist_buffer_size"":12.0,""max_dist_size"":33.0,""batch_size"":3.0}",99,0.019
quality_control_2,BOCPD,"alpha=0.1, beta=10, kappa=2, mu=2",93,2.923
quality_control_2,CUSUM,"twarmup=168, plimit=0.8449208818280003",112,0.009
quality_control_2,PELT,"penalty=2, jump=1, min_size=1",97;283,15.615
bee_waggle_6,MicroWatch(idx=0),"{""new_dist_buffer_size"":49.0,""max_dist_size"":93.0,""threshold_ratio"":0.628242871,""batch_size"":4.0}",,0.055
bee_waggle_6,MicroWatch(idx=1),"{""new_dist_buffer_size"":50.0,""batch_size"":5.0,""max_dist_size"":34.0,""threshold_ratio"":2.141205214}",,0.026
bee_waggle_6,MicroWatch(idx=2),"{""batch_size"":6.0,""new_dist_buffer_size"":40.0,""threshold_ratio"":3.719955787,""max_dist_size"":99.0}",,0.038
bee_waggle_6,MicroWatch(idx=3),"{""new_dist_buffer_size"":26.0,""batch_size"":3.0,""max_dist_size"":54.0,""threshold_ratio"":2.843846528}",,0.042
bee_waggle_6,MicroWatch(idx=4),"{""threshold_ratio"":0.81995813,""new_dist_buffer_size"":38.0,""batch_size"":5.0,""max_dist_size"":30.0}",40;85;125;165;255;340;380;420;490;530;570,0.072
