dataset,algorithm,f1_score,precision_%,recall_%,covering_score,predicted_cps,true_cps
apple,MicroWatch(idx=4),92.86,100.0,86.67,80.07,2,12
apple,MicroWatch(idx=5),92.86,100.0,86.67,80.07,2,12
apple,MicroWatch(idx=6),80.41,75.0,86.67,78.72,3,12
apple,MicroWatch(idx=1),76.19,66.67,88.89,63.94,5,12
apple,MicroWatch(idx=2),61.54,100.0,44.44,42.45,1,12
apple,MicroWatch(idx=0),59.38,100.0,42.22,42.46,0,12
apple,MicroWatch(idx=3),59.38,100.0,42.22,42.46,0,12
bank,MicroWatch(idx=0),100.0,100.0,100.0,100.0,0,0
bank,MicroWatch(idx=1),100.0,100.0,100.0,100.0,0,0
bank,MicroWatch(idx=2),100.0,100.0,100.0,100.0,0,0
bank,MicroWatch(idx=3),100.0,100.0,100.0,100.0,0,0
bank,MicroWatch(idx=4),100.0,100.0,100.0,100.0,0,0
bank,MicroWatch(idx=5),100.0,100.0,100.0,100.0,0,0
bank,MicroWatch(idx=6),100.0,100.0,100.0,100.0,0,0
bank,BOCPD,100.0,100.0,100.0,100.0,0,0
bank,PELT,100.0,100.0,100.0,100.0,0,0
bank,CUSUM,22.22,12.5,100.0,22.38,7,0
bee_waggle_6,MicroWatch(idx=0),92.86,100.0,86.67,89.11,0,2
bee_waggle_6,MicroWatch(idx=1),92.86,100.0,86.67,89.11,0,2
bee_waggle_6,MicroWatch(idx=2),92.86,100.0,86.67,89.11,0,2
bee_waggle_6,MicroWatch(idx=3),92.86,100.0,86.67,89.11,0,2
bee_waggle_6,MicroWatch(idx=5),32.5,20.0,86.67,41.3,4,2
bee_waggle_6,MicroWatch(idx=6),27.96,16.67,86.67,47.37,5,2
bee_waggle_6,MicroWatch(idx=4),15.2,8.33,86.67,17.59,11,2
bitcoin,MicroWatch(idx=4),84.73,100.0,73.5,76.98,6,20
bitcoin,MicroWatch(idx=1),76.64,72.73,81.0,73.18,10,20
bitcoin,PELT,67.29,58.33,79.5,68.98,11,20
bitcoin,MicroWatch(idx=6),59.85,71.43,51.5,72.92,6,20
bitcoin,MicroWatch(idx=2),58.54,75.0,48.0,74.72,3,20
bitcoin,MicroWatch(idx=5),53.33,60.0,48.0,73.44,4,20
bitcoin,MicroWatch(idx=3),45.39,60.0,36.5,71.87,4,20
bitcoin,MicroWatch(idx=0),44.96,100.0,29.0,51.62,0,20
bitcoin,BOCPD,44.96,100.0,29.0,51.62,0,20
bitcoin,CUSUM,35.48,26.67,53.0,27.22,14,20
brent_spot,MicroWatch(idx=4),68.63,83.33,58.33,64.15,5,30
brent_spot,MicroWatch(idx=1),66.25,75.0,59.33,65.77,7,30
brent_spot,BOCPD,54.37,100.0,37.33,54.38,3,30
brent_spot,PELT,52.08,50.0,54.33,61.05,7,30
brent_spot,MicroWatch(idx=6),47.92,50.0,46.0,54.66,7,30
brent_spot,CUSUM,47.5,44.44,51.0,48.96,8,30
brent_spot,MicroWatch(idx=5),46.24,50.0,43.0,48.38,9,30
