Dataset,Algorithm,Windows (ms),Ubuntu (ms),Raspberry Pi (ms)
apple,MicroWatch(idx=0),0.034,0.024,0.151
apple,MicroWatch(idx=1),0.04,0.022,0.121
apple,MicroWatch(idx=2),0.034,0.02,0.122
apple,MicroWatch(idx=3),0.035,0.019,0.138
apple,MicroWatch(idx=4),0.187,0.103,0.677
apple,MicroWatch(idx=5),0.119,0.072,0.438
apple,MicroWatch(idx=6),0.069,0.041,0.265
apple,PELT,49.002,36.711,193.952
bank,BOCPD,10.66,13.417,102.882
bank,CUSUM,0.013,0.013,0.089
bank,MicroWatch(idx=0),0.023,0.024,0.157
bank,MicroWatch(idx=1),0.024,0.025,0.147
bank,MicroWatch(idx=2),0.019,0.021,0.125
bank,MicroWatch(idx=3),0.018,0.02,0.138
bank,MicroWatch(idx=4),0.027,0.03,0.19
bank,MicroWatch(idx=5),0.034,0.04,0.229
bank,MicroWatch(idx=6),0.028,0.031,0.182
bank,PELT,23.595,28.692,142.23
bee_waggle_6,MicroWatch(idx=0),0.047,0.055,0.339
bee_waggle_6,MicroWatch(idx=1),0.026,0.026,0.136
bee_waggle_6,MicroWatch(idx=2),0.037,0.038,0.208
bee_waggle_6,MicroWatch(idx=3),0.039,0.042,0.317
bee_waggle_6,MicroWatch(idx=4),0.07,0.072,0.462
bee_waggle_6,MicroWatch(idx=5),0.144,0.164,0.969
bee_waggle_6,MicroWatch(idx=6),0.026,0.029,0.169
bee_waggle_6,PELT,27.655,34.183,157.292
bitcoin,BOCPD,19.32,22.857,180.078
bitcoin,CUSUM,0.012,0.012,0.086
bitcoin,MicroWatch(idx=0),0.036,0.04,0.259
bitcoin,MicroWatch(idx=1),0.04,0.039,0.207
bitcoin,MicroWatch(idx=2),0.033,0.038,0.217
bitcoin,MicroWatch(idx=3),0.049,0.057,0.381
bitcoin,MicroWatch(idx=4),0.055,0.063,0.375
bitcoin,MicroWatch(idx=5),0.049,0.037,0.233
bitcoin,MicroWatch(idx=6),0.031,0.032,0.189
bitcoin,PELT,51.416,55.191,282.796
brent_spot,BOCPD,8.085,8.889,76.646
brent_spot,CUSUM,0.009,0.008,0.063
brent_spot,MicroWatch(idx=0),0.042,0.047,0.284
brent_spot,MicroWatch(idx=1),0.079,0.075,0.416
brent_spot,MicroWatch(idx=2),0.021,0.022,0.141
brent_spot,MicroWatch(idx=3),0.021,0.023,0.159
brent_spot,MicroWatch(idx=4),0.044,0.046,0.29
brent_spot,MicroWatch(idx=5),0.029,0.03,0.182
brent_spot,MicroWatch(idx=6),0.031,0.032,0.198
brent_spot,PELT,22.767,24.586,132.082
businv,BOCPD,3.97,4.763,33.769
businv,CUSUM,0.004,0.004,0.028
businv,MicroWatch(idx=0),0.03,0.031,0.197
businv,MicroWatch(idx=1),0.038,0.036,0.197
businv,MicroWatch(idx=2),0.034,0.038,0.228
businv,MicroWatch(idx=3),0.046,0.049,0.364
businv,MicroWatch(idx=4),0.056,0.061,0.375
businv,MicroWatch(idx=5),0.078,0.092,0.543
businv,MicroWatch(idx=6),0.026,0.029,0.152
businv,PELT,7.71,10.544,44.804
centralia,BOCPD,0.012,0.012,0.094
centralia,CUSUM,0.001,0.001,0.003
centralia,MicroWatch(idx=0),0.005,0.007,0.026
centralia,MicroWatch(idx=1),0.004,0.003,0.011
centralia,MicroWatch(idx=2),0.002,0.002,0.012
centralia,MicroWatch(idx=3),0.002,0.002,0.01
centralia,MicroWatch(idx=4),0.002,0.005,0.013
centralia,MicroWatch(idx=5),0.005,0.015,0.019
centralia,MicroWatch(idx=6),0.001,0.001,0.006
centralia,PELT,0.016,0.016,0.083
children_per_woman,BOCPD,2.933,4.365,28.244
children_per_woman,CUSUM,0.003,0.004,0.024
children_per_woman,MicroWatch(idx=0),0.015,0.018,0.111
children_per_woman,MicroWatch(idx=1),0.053,0.054,0.299
children_per_woman,MicroWatch(idx=2),0.029,0.031,0.182
children_per_woman,MicroWatch(idx=3),0.045,0.049,0.351
children_per_woman,MicroWatch(idx=4),0.112,0.127,0.777
children_per_woman,MicroWatch(idx=5),0.027,0.03,0.205
children_per_woman,MicroWatch(idx=6),0.035,0.038,0.224
children_per_woman,PELT,5.822,6.752,35.368
co2_canada,BOCPD,1.487,1.626,14.475
co2_canada,CUSUM,0.003,0.003,0.018
