dataset,algorithm,f1,precision,recall,cover,,env,dataset ,algorithm ,time
centralia,MicroWatch(idx=1),0.909090909,1,0.833333333,0.753333333,,win,centralia,MicroWatch(idx=1),0.004
centralia,MicroWatch(idx=4),0.909090909,1,0.833333333,0.753333333,,win,centralia,MicroWatch(idx=4),0.002
centralia,MicroWatch(idx=5),0.846153846,1,0.733333333,0.651555556,,,,,
centralia,BOCPD,0.762886598,1,0.616666667,0.674666667,,,,,
centralia,CUSUM,0.762886598,1,0.616666667,0.674666667,,,,,
centralia,PELT,0.909090909,1,0.833333333,0.563597884,,,,,
,,,,,,,,,,
construction,MicroWatch(idx=1),0.965517241,1,0.933333333,0.734870655,,,,,
construction,MicroWatch(idx=4),1,1,1,0.730431783,,,,,
construction,MicroWatch(idx=5),0.75,1,0.6,0.666820422,,,,,
construction,BOCPD,0.516129032,0.5,0.533333333,0.803247588,,,,,
construction,CUSUM,0.573529412,0.428571429,0.866666667,0.321687597,,,,,
construction,PELT,0.695652174,1,0.533333333,0.574603237,,,,,
,,,,,,,,,,
gdp_croatia,MicroWatch(idx=1),1,1,1,0.801666667,,,,,
gdp_croatia,MicroWatch(idx=4),1,1,1,0.801666667,,,,,
gdp_croatia,MicroWatch(idx=5),1,1,1,0.801666667,,,,,
gdp_croatia,BOCPD,0.823529412,1,0.7,0.708333333,,,,,
gdp_croatia,CUSUM,0.823529412,1,0.7,0.708333333,,,,,
gdp_croatia,PELT,0.8,0.666666667,1,0.533333333,,,,,
,,,,,,,,,,
homeruns,MicroWatch(idx=1),0.873239437,1,0.775,0.702785895,,,,,
homeruns,MicroWatch(idx=4),0.947368421,1,0.9,0.692155585,,,,,
homeruns,MicroWatch(idx=5),0.873239437,1,0.775,0.702785895,,,,,
homeruns,BOCPD,0.762295082,0.75,0.775,0.650260375,,,,,
homeruns,CUSUM,0.582159624,0.666666667,0.516666667,0.519897254,,,,,
homeruns,PELT,0.811881188,1,0.683333333,0.693802844,,,,,
