dataset,method,parameters,change_points,time_ms
occupancy,MicroWatch(idx=0),"{""max_dist_size"":56.0,""batch_size"":3.0,""new_dist_buffer_size"":45.0,""threshold_ratio"":1.016785537}",,0.231
occupancy,MicroWatch(idx=1),"{""new_dist_buffer_size"":14.0,""threshold_ratio"":1.656564064,""batch_size"":6.0,""max_dist_size"":13.0}",30;54;96;144;186;234;270;324;342;360;420;438;456,0.187
occupancy,MicroWatch(idx=2),"{""new_dist_buffer_size"":47.0,""threshold_ratio"":0.925715672,""batch_size"":3.0,""max_dist_size"":72.0}",51;99;147;195;243;417;465,0.286
occupancy,MicroWatch(idx=3),"{""max_dist_size"":79.0,""threshold_ratio"":0.930468737,""batch_size"":3.0,""new_dist_buffer_size"":39.0}",51;90;141;180;240;279;324;363;414;459;504,0.614
occupancy,MicroWatch(idx=4),"{""threshold_ratio"":1.458138,""max_dist_size"":51.0,""batch_size"":3.0,""new_dist_buffer_size"":41.0}",51;93;141;183;234;417,0.735
occupancy,MicroWatch(idx=5),"{""batch_size"":4.0,""threshold_ratio"":0.171617444,""max_dist_size"":59.0,""new_dist_buffer_size"":29.0}",52;84;140;172;240;340;416;448,0.914
occupancy,MicroWatch(idx=6),"{""batch_size"":4.0,""new_dist_buffer_size"":22.0,""max_dist_size"":44.0,""threshold_ratio"":1.220855472}",52;92;140;184;236;260;336;416;464;504,0.414
occupancy,PELT,"penalty=5, jump=9, min_size=1",12;58;92;104;149;185;241;264;288;341;353;419;456;509,148.971
ratner_stock,MicroWatch(idx=0),"{""threshold_ratio"":0.977566261,""new_dist_buffer_size"":6.0,""batch_size"":6.0,""max_dist_size"":70.0}",,0.184
ratner_stock,MicroWatch(idx=1),"{""batch_size"":4.0,""max_dist_size"":45.0,""new_dist_buffer_size"":24.0,""threshold_ratio"":3.091763487}",276,0.170
ratner_stock,MicroWatch(idx=2),"{""batch_size"":6.0,""max_dist_size"":69.0,""new_dist_buffer_size"":15.0,""threshold_ratio"":2.300857264}",270,0.213
ratner_stock,MicroWatch(idx=3),"{""batch_size"":5.0,""threshold_ratio"":3.420572722,""max_dist_size"":15.0,""new_dist_buffer_size"":12.0}",210;270;330;405;455,0.159
ratner_stock,MicroWatch(idx=4),"{""threshold_ratio"":2.080022544,""batch_size"":6.0,""new_dist_buffer_size"":39.0,""max_dist_size"":30.0}",210;270,0.186
ratner_stock,MicroWatch(idx=5),"{""threshold_ratio"":1.579000706,""new_dist_buffer_size"":37.0,""batch_size"":3.0,""max_dist_size"":79.0}",162,0.416
ratner_stock,MicroWatch(idx=6),"{""max_dist_size"":89.0,""new_dist_buffer_size"":11.0,""batch_size"":5.0,""threshold_ratio"":1.305230664}",15;30;80;160;205;245;260;275;290;305;330;355;405;455;560;580;595,0.404
ratner_stock,BOCPD,"alpha=0.01, beta=0.1, kappa=0.1, mu=10",200;267,109.447
ratner_stock,CUSUM,"twarmup=299, plimit=0.876822018756594",40;81;146;202;250;286;335;376;410;453;498;535;575,0.050
ratner_stock,PELT,"penalty=6, jump=4, min_size=1",208;273;600,159.884
shanghai_license,MicroWatch(idx=0),"{""max_dist_size"":61.0,""new_dist_buffer_size"":45.0,""batch_size"":3.0,""threshold_ratio"":1.043895279}",,0.114
shanghai_license,MicroWatch(idx=1),"{""batch_size"":5.0,""max_dist_size"":93.0,""threshold_ratio"":3.617434115,""new_dist_buffer_size"":33.0}",145,0.143
shanghai_license,MicroWatch(idx=2),"{""batch_size"":5.0,""threshold_ratio"":2.746570231,""new_dist_buffer_size"":12.0,""max_dist_size"":73.0}",55;160,0.151
shanghai_license,MicroWatch(idx=3),"{""batch_size"":6.0,""max_dist_size"":71.0,""new_dist_buffer_size"":46.0,""threshold_ratio"":3.886121913}",168,0.082
shanghai_license,MicroWatch(idx=4),"{""max_dist_size"":35.0,""batch_size"":5.0,""new_dist_buffer_size"":36.0,""threshold_ratio"":1.886476529}",55;145,0.083
