dataset,algorithm,detected_cps,total_points,accuracy_%
apple,MicroWatch(idx=0),0,622,100.0
apple,MicroWatch(idx=1),2,622,99.67845659163987
apple,MicroWatch(idx=2),1,622,99.83922829581994
apple,MicroWatch(idx=3),0,622,100.0
apple,MicroWatch(idx=4),2,622,99.67845659163987
apple,MicroWatch(idx=5),2,622,99.67845659163987
apple,MicroWatch(idx=6),3,622,99.51768488745981
bank,MicroWatch(idx=0),0,581,100.0
bank,MicroWatch(idx=1),0,581,100.0
bank,MicroWatch(idx=2),0,581,100.0
bank,MicroWatch(idx=3),0,581,100.0
bank,MicroWatch(idx=4),0,581,100.0
bank,MicroWatch(idx=5),0,581,100.0
bank,MicroWatch(idx=6),0,581,100.0
bank,BOCPD,0,581,100.0
bank,CUSUM,7,581,98.79518072289156
bank,PELT,1,581,99.82788296041308
bee_waggle_6,MicroWatch(idx=0),0,609,100.0
bee_waggle_6,MicroWatch(idx=1),0,609,100.0
bee_waggle_6,MicroWatch(idx=2),0,609,100.0
bee_waggle_6,MicroWatch(idx=3),1,609,99.83579638752053
bee_waggle_6,MicroWatch(idx=4),14,609,97.70114942528735
bee_waggle_6,MicroWatch(idx=5),4,609,99.3431855500821
bee_waggle_6,MicroWatch(idx=6),9,609,98.52216748768473
bitcoin,MicroWatch(idx=0),0,774,100.0
bitcoin,MicroWatch(idx=1),10,774,98.70801033591732
bitcoin,MicroWatch(idx=2),3,774,99.6124031007752
bitcoin,MicroWatch(idx=3),4,774,99.48320413436691
bitcoin,MicroWatch(idx=4),6,774,99.2248062015504
bitcoin,MicroWatch(idx=5),4,774,99.48320413436691
bitcoin,MicroWatch(idx=6),6,774,99.2248062015504
bitcoin,BOCPD,0,774,100.0
bitcoin,CUSUM,14,774,98.19121447028424
bitcoin,PELT,12,774,98.44961240310077
brent_spot,MicroWatch(idx=0),0,500,100.0
brent_spot,MicroWatch(idx=1),5,500,99.0
brent_spot,MicroWatch(idx=2),2,500,99.6
brent_spot,MicroWatch(idx=3),2,500,99.6
brent_spot,MicroWatch(idx=4),5,500,99.0
brent_spot,MicroWatch(idx=5),9,500,98.2
brent_spot,MicroWatch(idx=6),7,500,98.6
brent_spot,BOCPD,3,500,99.4
brent_spot,CUSUM,8,500,98.4
brent_spot,PELT,8,500,98.4
businv,MicroWatch(idx=0),0,330,100.0
businv,MicroWatch(idx=1),1,330,99.69696969696969
businv,MicroWatch(idx=2),1,330,99.69696969696969
businv,MicroWatch(idx=3),1,330,99.69696969696969
businv,MicroWatch(idx=4),3,330,99.0909090909091
businv,MicroWatch(idx=5),1,330,99.69696969696969
businv,MicroWatch(idx=6),13,330,96.06060606060606
businv,BOCPD,0,330,100.0
businv,CUSUM,8,330,97.57575757575758
businv,PELT,1,330,99.69696969696969
centralia,MicroWatch(idx=0),0,15,100.0
centralia,MicroWatch(idx=1),1,15,93.33333333333333
centralia,MicroWatch(idx=2),1,15,93.33333333333333
centralia,MicroWatch(idx=3),1,15,93.33333333333333
centralia,MicroWatch(idx=4),1,15,93.33333333333333
centralia,MicroWatch(idx=5),1,15,93.33333333333333
centralia,MicroWatch(idx=6),0,15,100.0
centralia,BOCPD,0,15,100.0
centralia,CUSUM,0,15,100.0
centralia,PELT,2,15,86.66666666666667
children_per_woman,MicroWatch(idx=0),0,301,100.0
children_per_woman,MicroWatch(idx=1),3,301,99.00332225913621
children_per_woman,MicroWatch(idx=2),1,301,99.66777408637874
children_per_woman,MicroWatch(idx=3),3,301,99.00332225913621
children_per_woman,MicroWatch(idx=4),2,301,99.33554817275747
children_per_woman,MicroWatch(idx=5),0,301,100.0
children_per_woman,MicroWatch(idx=6),2,301,99.33554817275747
children_per_woman,BOCPD,4,301,98.67109634551495
children_per_woman,CUSUM,8,301,97.34219269102991
children_per_woman,PELT,2,301,99.33554817275747
co2_canada,MicroWatch(idx=0),1,215,99.53488372093024
co2_canada,MicroWatch(idx=1),5,215,97.67441860465115
co2_canada,MicroWatch(idx=2),7,215,96.74418604651163
co2_canada,MicroWatch(idx=3),5,215,97.67441860465115
co2_canada,MicroWatch(idx=4),5,215,97.67441860465115
co2_canada,MicroWatch(idx=5),5,215,97.67441860465115
co2_canada,MicroWatch(idx=6),4,215,98.13953488372093
co2_canada,BOCPD,4,215,98.13953488372093
co2_canada,CUSUM,5,215,97.67441860465115
co2_canada,PELT,5,215,97.67441860465115
construction,MicroWatch(idx=0),0,319,100.0
construction,MicroWatch(idx=1),3,319,99.05956112852664
construction,MicroWatch(idx=2),1,319,99.68652037617555
construction,MicroWatch(idx=3),3,319,99.05956112852664
construction,MicroWatch(idx=4),4,319,98.7460815047022
construction,MicroWatch(idx=5),1,319,99.68652037617555
construction,MicroWatch(idx=6),18,319,94.35736677115987
construction,BOCPD,1,319,99.68652037617555
construction,CUSUM,6,319,98.11912225705329
construction,PELT,1,319,99.68652037617555
debt_ireland,MicroWatch(idx=0),0,21,100.0
debt_ireland,MicroWatch(idx=1),2,21,90.47619047619048
debt_ireland,MicroWatch(idx=2),2,21,90.47619047619048
debt_ireland,MicroWatch(idx=3),2,21,90.47619047619048
debt_ireland,MicroWatch(idx=4),2,21,90.47619047619048
debt_ireland,MicroWatch(idx=5),1,21,95.23809523809523
debt_ireland,MicroWatch(idx=6),2,21,90.47619047619048
debt_ireland,BOCPD,2,21,90.47619047619048
debt_ireland,CUSUM,0,21,100.0
debt_ireland,PELT,1,21,95.23809523809523
gdp_argentina,MicroWatch(idx=0),0,59,100.0
gdp_argentina,MicroWatch(idx=1),1,59,98.30508474576271
gdp_argentina,MicroWatch(idx=2),1,59,98.30508474576271
gdp_argentina,MicroWatch(idx=3),0,59,100.0
gdp_argentina,MicroWatch(idx=4),1,59,98.30508474576271
gdp_argentina,MicroWatch(idx=5),1,59,98.30508474576271
gdp_argentina,MicroWatch(idx=6),1,59,98.30508474576271
gdp_argentina,BOCPD,0,59,100.0
gdp_argentina,CUSUM,1,59,98.30508474576271
gdp_argentina,PELT,3,59,94.91525423728814
gdp_croatia,MicroWatch(idx=0),0,24,100.0
gdp_croatia,MicroWatch(idx=1),1,24,95.83333333333334
gdp_croatia,MicroWatch(idx=2),1,24,95.83333333333334
gdp_croatia,MicroWatch(idx=3),1,24,95.83333333333334
gdp_croatia,MicroWatch(idx=4),1,24,95.83333333333334
gdp_croatia,MicroWatch(idx=5),1,24,95.83333333333334
gdp_croatia,MicroWatch(idx=6),1,24,95.83333333333334
gdp_croatia,BOCPD,0,24,100.0
gdp_croatia,CUSUM,0,24,100.0
gdp_croatia,PELT,1,24,95.83333333333334
gdp_iran,MicroWatch(idx=0),0,58,100.0
