dataset,algorithm,f1,precision,recall,cover
apple,MicroWatch(idx=0),0.59375,1.0,0.4222222222222222,0.4246265030345013
apple,MicroWatch(idx=1),0.7619047619047619,0.6666666666666666,0.888888888888889,0.6394080338626024
apple,MicroWatch(idx=2),0.6153846153846154,1.0,0.4444444444444445,0.42448483525525554
apple,MicroWatch(idx=3),0.59375,1.0,0.4222222222222222,0.4246265030345013
apple,MicroWatch(idx=4),0.9285714285714287,1.0,0.8666666666666668,0.800729756559285
apple,MicroWatch(idx=5),0.9285714285714287,1.0,0.8666666666666668,0.800729756559285
apple,MicroWatch(idx=6),0.8041237113402063,0.75,0.8666666666666668,0.7872438892356662
apple,PELT,0.45714285714285713,0.3076923076923077,0.888888888888889,0.38484553478252004
bank,MicroWatch(idx=0),1.0,1.0,1.0,1.0
bank,MicroWatch(idx=1),1.0,1.0,1.0,1.0
bank,MicroWatch(idx=2),1.0,1.0,1.0,1.0
bank,MicroWatch(idx=3),1.0,1.0,1.0,1.0
bank,MicroWatch(idx=4),1.0,1.0,1.0,1.0
bank,MicroWatch(idx=5),1.0,1.0,1.0,1.0
bank,MicroWatch(idx=6),1.0,1.0,1.0,1.0
bank,BOCPD,1.0,1.0,1.0,1.0
bank,CUSUM,0.2222222222222222,0.125,1.0,0.22375215146299485
bank,PELT,1.0,1.0,1.0,1.0
bee_waggle_6,MicroWatch(idx=0),0.9285714285714287,1.0,0.8666666666666668,0.8911284212456287
bee_waggle_6,MicroWatch(idx=1),0.9285714285714287,1.0,0.8666666666666668,0.8911284212456287
bee_waggle_6,MicroWatch(idx=2),0.9285714285714287,1.0,0.8666666666666668,0.8911284212456287
bee_waggle_6,MicroWatch(idx=3),0.9285714285714287,1.0,0.8666666666666668,0.8911284212456287
bee_waggle_6,MicroWatch(idx=4),0.15204678362573099,0.08333333333333333,0.8666666666666668,0.17586571793468347
bee_waggle_6,MicroWatch(idx=5),0.325,0.2,0.8666666666666668,0.4129878479397597
bee_waggle_6,MicroWatch(idx=6),0.27956989247311825,0.16666666666666666,0.8666666666666668,0.4736583979430641
bee_waggle_6,PELT,0.9285714285714287,1.0,0.8666666666666668,0.8911284212456287
bitcoin,MicroWatch(idx=0),0.44961240310077516,1.0,0.29,0.5162283249537621
bitcoin,MicroWatch(idx=1),0.7664104080425784,0.7272727272727273,0.8099999999999999,0.7317783673102823
bitcoin,MicroWatch(idx=2),0.5853658536585366,0.75,0.48,0.7471661889194853
bitcoin,MicroWatch(idx=3),0.4538860103626943,0.6,0.365,0.7187362601104132
bitcoin,MicroWatch(idx=4),0.8472622478386168,1.0,0.735,0.7697833056905871
bitcoin,MicroWatch(idx=5),0.5333333333333332,0.6,0.48,0.7343541925679719
