algorithm,f1,precision,recall,cover,rank
MicroWatch(idx=1),0.874671138,0.906223803,0.863860513,0.771176993,1
MicroWatch(idx=4),0.826656499,0.865735653,0.843966174,0.719147198,2
PELT,0.81134775,0.864076157,0.808309212,0.709548209,3
BOCPD,0.768209537,0.964473684,0.676221317,0.700052678,4
MicroWatch(idx=5),0.727720318,0.798809524,0.724702978,0.686718431,5
MicroWatch(idx=3),0.715056477,0.811904762,0.681712703,0.682489025,6
MicroWatch(idx=2),0.691515702,0.771703067,0.686570715,0.640618127,7
MicroWatch(idx=6),0.689307993,0.695411764,0.78743017,0.625076244,8
MicroWatch(idx=0),0.657960831,0.988095238,0.524628689,0.576204526,9
CUSUM,0.499030529,0.518169477,0.619163414,0.490104366,10
