dataset,method,parameters,change_points,time_ms
apple,MicroWatch(idx=0),"{""batch_size"":4.0,""max_dist_size"":27.0,""new_dist_buffer_size"":4.0,""threshold_ratio"":0.125298284}",,0.034
apple,MicroWatch(idx=1),"{""threshold_ratio"":3.284828172,""max_dist_size"":17.0,""new_dist_buffer_size"":20.0,""batch_size"":5.0}",130;200;230;275;320,0.040
apple,MicroWatch(idx=2),"{""max_dist_size"":21.0,""new_dist_buffer_size"":38.0,""threshold_ratio"":3.139910919,""batch_size"":3.0}",54,0.034
apple,MicroWatch(idx=3),"{""batch_size"":6.0,""new_dist_buffer_size"":41.0,""threshold_ratio"":3.86760245,""max_dist_size"":51.0}",,0.035
apple,MicroWatch(idx=4),"{""batch_size"":3.0,""new_dist_buffer_size"":37.0,""max_dist_size"":71.0,""threshold_ratio"":0.525455704}",48;318,0.187
apple,MicroWatch(idx=5),"{""batch_size"":6.0,""threshold_ratio"":0.732082852,""max_dist_size"":86.0,""new_dist_buffer_size"":30.0}",48;318,0.119
apple,MicroWatch(idx=6),"{""threshold_ratio"":1.105742671,""max_dist_size"":53.0,""new_dist_buffer_size"":20.0,""batch_size"":3.0}",24;54;318,0.069
apple,PELT,"penalty=5, jump=6, min_size=1",101;131;199;223;244;265;286;319;417;462;546;605;622,49.002
bank,MicroWatch(idx=0),"{""threshold_ratio"":0.307721167,""batch_size"":5.0,""max_dist_size"":35.0,""new_dist_buffer_size"":8.0}",,0.023
bank,MicroWatch(idx=1),"{""new_dist_buffer_size"":26.0,""batch_size"":3.0,""max_dist_size"":35.0,""threshold_ratio"":2.39160933}",,0.024
bank,MicroWatch(idx=2),"{""threshold_ratio"":2.720781393,""batch_size"":6.0,""max_dist_size"":50.0,""new_dist_buffer_size"":30.0}",,0.019
bank,MicroWatch(idx=3),"{""max_dist_size"":21.0,""batch_size"":5.0,""threshold_ratio"":2.777395497,""new_dist_buffer_size"":41.0}",,0.018
bank,MicroWatch(idx=4),"{""batch_size"":3.0,""max_dist_size"":50.0,""new_dist_buffer_size"":46.0,""threshold_ratio"":3.162353655}",,0.027
bank,MicroWatch(idx=5),"{""batch_size"":4.0,""threshold_ratio"":2.154273858,""max_dist_size"":84.0,""new_dist_buffer_size"":40.0}",,0.034
bank,MicroWatch(idx=6),"{""batch_size"":5.0,""max_dist_size"":94.0,""threshold_ratio"":2.397339882,""new_dist_buffer_size"":24.0}",,0.028
